category,video_count,play_count_sum,play_count_min,play_count_p25,play_count_median,play_count_p75,play_count_p90,play_count_p95,play_count_max,play_count_mean,duration_sum_seconds,duration_min_seconds,duration_p25_seconds,duration_median_seconds,duration_p75_seconds,duration_p90_seconds,duration_p95_seconds,duration_max_seconds,duration_mean_seconds
精彩集锦,1574,1620898.0,33.0,196.0,431.0,1440.0,3398.0,5391.0,9964.0,1208.7233,203082.0,24.0,107.0,123.0,145.0,173.7,192.0,382.0,129.0229
赛事速递,760,867996.0,28.0,250.5,563.0,1966.5,4442.2,5657.1,9855.0,1488.8439,240330.0,96.0,239.0,300.5,388.0,476.0,511.05,643.0,316.2237
无前缀,637,295304.0,70.0,219.0,404.0,864.0,2533.0,5543.0,9595.0,1050.9039,216176.0,33.0,159.0,237.0,347.0,683.8,826.2,2989.0,339.3658
TOP5,87,87736.0,117.0,315.5,554.0,1149.5,2143.6,2686.4,9968.0,1008.4598,15399.0,110.0,159.5,178.0,194.0,210.8,215.0,257.0,177.0
清扬超神时刻,60,32428.0,118.0,843.0,1095.5,5009.25,5142.0,7267.8,9866.0,2702.3333,13031.0,158.0,199.0,214.0,238.75,249.0,262.7,281.0,217.1833
集锦,57,,,,,,,,,,12970.0,119.0,173.0,199.0,263.0,313.2,338.4,601.0,227.5439
超神时刻,47,50565.0,645.0,3076.0,3811.0,5004.0,6174.4,6437.6,6689.0,3889.6154,10976.0,166.0,203.0,228.0,255.0,279.4,302.4,368.0,233.5319
精编短视频,17,7077.0,48.0,104.0,199.0,505.0,1207.6,1476.0,1520.0,416.2941,997.0,40.0,53.0,58.0,64.0,75.0,79.0,83.0,58.6471
时差五小时2,16,9831.0,336.0,523.0,600.5,650.0,886.5,923.25,1029.0,614.4375,35929.0,1811.0,2018.75,2211.0,2397.0,2704.0,2756.25,2853.0,2245.5625
绝对王者,12,8541.0,193.0,391.75,595.0,763.0,1258.3,1652.2,2079.0,711.75,7012.0,461.0,551.0,591.0,631.75,665.5,687.9,711.0,584.3333
明星梦之队精彩集锦,3,6242.0,2757.0,2939.0,3121.0,3303.0,3412.2,3448.6,3485.0,3121.0,227.0,49.0,51.5,54.0,89.0,110.0,117.0,124.0,75.6667
TOP 5,2,3027.0,749.0,1131.25,1513.5,1895.75,2125.1,2201.55,2278.0,1513.5,351.0,171.0,173.25,175.5,177.75,179.1,179.55,180.0,175.5
表演赛精彩集锦,1,3475.0,3475.0,3475.0,3475.0,3475.0,3475.0,3475.0,3475.0,3475.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
精彩集锦罗无人能挡四连超凡,1,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0
Recap,1,,,,,,,,,,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0
最佳阵容,1,,,,,,,,,,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0
